1274.5,886
1277.5,876
1284,866
1292,856.5
1297,846.5
1304.5,833.5
1313.5,825
1319.5,815.5
1326.5,806
1332,796
1344.5,786.5
1349.5,774.5
1356,764.5
1365.5,753.5
1371.5,744
1379,732.5
1386,723
1395.5,711.5
1404,702
1411,692
1420,682.5
1428.5,668
1434.5,657.5
1441,646.5
1448.5,635
1458,624.5
1465.5,612.5
1474.5,602.5
1484,592.5
1490,580
1611,414
1619.5,401
1629,390
1638.5,377
1647,364
1655.5,351.5
1664,338
1672.5,323
1682.5,310.5
1691.5,298.5
1701,285
1711.5,270
1719.5,257.5
1730,243.5
1739,230
1748.5,218.5
1760,203
1766,188.5
1775.5,169.5
1788,158.5
1796.5,143.5
1804.5,131
1803.5,153
1797.5,162.5
1786,182
1777,196.5
1769.5,214
1759.5,226
1750,239.5
1741,252
1730.5,262
1720.5,280.5
1712.5,294
1705,307.5
1693.5,322
1682.5,333.5
1673,345
1663,359
1654,372.5
1645.5,386
1636,398
1625.5,410
1618,419
1500.5,592.5
1492,603.5
1484.5,613
1475.5,623.5
1468.5,634.5
1459.5,645
1451.5,655.5
1442.5,667
1434,678.5
1426.5,690
1418,700
1410.5,711
1403.5,722
1396,733
1387,742.5
1379.5,753.5
1376,763.5
1364.5,774
1357,785
1350,792.5
1342,802
1333.5,813.5
1327.5,824.5
1321,835
1314,845.5
1306,855.5
1299,865
1293.5,875
1286.5,887.5
1280.5,896.5
1289,900.5
1297,891
1303.5,881
1312,873
1319,863
1324.5,851.5
1332,841
1339,830
1368.5,802
1372,787.5
1379,779
1385,768.5
1393.5,759.5
1400.5,749.5
1409,738.5
1416,728
1423.5,717.5
1431.5,707
1440,695
1447.5,684.5
1455,673
1463.5,661.5
1470,651
1479.5,639
1487.5,628
1495.5,617.5
1504.5,606.5
1512,598.5
1632.5,431.5
1641,417.5
1649,405
1657.5,392
1667.5,379
1677,367
1687,354.5
1697,341
1707.5,328
1716.5,315
1725.5,303.5
1736,288.5
1745,274.5
1753,260.5
1763.5,243.5
1773.5,233
1783.5,219
1793,208.5
1798,191
1800.5,210.5
1793.5,224
1782.5,235
1770.5,249.5
1760,264.5
1754,280
1745,295.5
1734.5,307
1725.5,320
1716.5,334
1707.5,347.5
1698.5,359.5
1688,372.5
1679,387
1668.5,399
1659,412.5
1651.5,425.5
1641.5,437
1635,450.5
1625.5,464.5
1617,477.5
1605.5,488.5
1596.5,499.5
1590.5,511.5
1587,523.5
1529,598.5
1521.5,605
1512.5,615.5
1504,626
1496,637.5
1488.5,649
1479,659
1472.5,671
1464,682.5
1454.5,692.5
1448,705
1439,714
1430.5,726
1423.5,736
1416,746.5
1409,756.5
1400.5,766.5
1391.5,777.5
1384,788.5
1378.5,799.5
1373.5,809.5
1364.5,819
1357.5,832.5
1350,842.5
1342.5,850.5
1334.5,861.5
1326.5,869
1319,880
1311,890
1305,898.5
1329.5,883
1337.5,875.5
1344.5,866
1353,856.5
1361,847
1368.5,837.5
1377,828
1384.5,819
1392,810.5
1399,796
1406,785
1414,774.5
1420,763.5
1428.5,750.5
1436,741
1443,730.5
1451,720
1459,709
1466,698
1474.5,686.5
1483,676
1492,665
1499.5,654.5
1509.5,642.5
1516,630.5
1523.5,618.5
1532,608
1540.5,600.5
1589,540.5
1595,529.5
1600.5,517
1609.5,505
1619,492.5
1628,481
1637,467
1646,455.5
1654,443
1664.5,432
1673,418.5
1682,404
1692.5,392
1702,378.5
1710.5,365.5
1719.5,352
1730,338.5
1738.5,325.5
1749.5,312.5
1759,299
1769,286
1778,275.5
1788,256.5
1793.5,243
1790,281.5
1780,294.5
1768.5,307.5
1757.5,322
1747.5,332
1738,349.5
1730,361.5
1720,375
1713,389
1702,401.5
1691,413.5
1681.5,426
1672,439
1663.5,452
1656,465
1646,478
1637,489
1628,501.5
1618.5,515.5
1609,527
1599,539
1594,550
1590,558.5
1575.5,576
1561.5,596
1554.5,601
1546,609
1539,620.5
1531,632
1522,643
1514,653.5
1505,665.5
1497.5,676
1489,689
1481,699.5
1472,710.5
1464,721
1454.5,729.5
1448,739.5
1439,752
1431,763.5
1425,774.5
1418,784.5
1411,798
1401.5,807
1394,816.5
1387,826
1379.5,836
1372,846.5
1364.5,856.5
1356.5,866
1383.5,850
1390,842
1398.5,832
1406,822.5
1413.5,811.5
1421.5,802
1429.5,792.5
1438,781.5
1445.5,770
1452,760
1459.5,748.5
1466,738
1474.5,723
1482.5,714.5
1492.5,704
1501,694
1508.5,682.5
1516.5,670.5
1526,659.5
1533.5,649
1543,638
1549.5,625.5
1556.5,615
1570,605.5
1581.5,598.5
1589.5,581.5
1598.5,568
1603.5,555.5
1611,542.5
1621.5,530.5
1630.5,519
1639.5,506.5
1649.5,495
1658,483
1667.5,470.5
1678,458
1686.5,446.5
1697,432.5
1706.5,420.5
1715.5,407
1724,395
1733.5,381
1744.5,367.5
1770,327.5
1780.5,312
1791,302
1798,288.5
1788.5,324
1777,336.5
1773,349
1763.5,365.5
1753.5,376.5
1743.5,391.5
1733.5,403.5
1725,416.5
1715.5,429
1705,442
1695,454
1687,467.5
1677,479
1667.5,490.5
1658,503.5
1649.5,517
1640.5,529
1631,541.5
1622.5,554
1614,566.5
1605,577
1594.5,590
1585,603.5
1575.5,612.5
1569,624
1555,636
1550.5,647
1542.5,658.5
1534,669
1524,679.5
1516,690
1506,701.5
1498,710.5
1488,720
1479,735.5
1475,747
1468.5,758.5
1460,768
1451,781
1444.5,791
1437,800.5
1429.5,810.5
1421.5,821.5
1414,830.5
1405.5,840
1432,826.5
1440,817.5
1447.5,807.5
1456.5,796.5
1463,785.5
1469,775.5
1476.5,767.5
1482.5,754
1496.5,743.5
1519.5,707.5
1529,698
1537,687
1545,676
1555,665.5
1564,653.5
1572.5,643
1581,631.5
1589.5,617.5
1603,607.5
1609.5,596
1617,584.5
1626,572.5
1636,561.5
1644,548.5
1653,536
1662.5,523
1672,510.5
1679.5,498.5
1689,484.5
1698,473.5
1707.5,459
1717.5,448
1727.5,435.5
1736.5,422.5
1745.5,408.5
1755,395.5
1765,381.5
1774.5,368
1783.5,359
1782,379
1775,391.5
1765.5,405.5
1756,418.5
1746.5,431
1737,442
1726,457
1717.5,470
1708,482
1698.5,494.5
1689.5,507.5
1680,520.5
1671,532.5
1661,543.5
1651.5,556.5
1641,568.5
1631.5,580.5
1623,593
1614,604
1606,614.5
1600.5,628.5
1588,639.5
1580,652
1570.5,662
1562.5,674.5
1553,685.5
1545.5,696.5
1536,707
1527.5,718
1521,731
1512,748.5
1503,757.5
1495,766
1486,774.5
1479,786
1468,795.5
1462.5,805
1454.5,815
1471,808
1480.5,799.5
1491.5,789.5
1499,780.5
1508,772
1520.5,760.5
1527.5,753.5
1534.5,737.5
1543,725.5
1550,714.5
1558.5,704
1566.5,692
1574.5,680.5
1585,668.5
1594,660
1602,645
1609.5,633.5
1619.5,622.5
1626,609.5
1636.5,597.5
1646,585.5
1655.5,574
1663.5,562.5
1674,549.5
1685,539
1694,526.5
1703.5,514
1713,502
1722.5,491.5
1734,479
1746.5,465.5
1748,451
1757.5,434.5
1766,425
1749.5,476
1740,484
1730.5,496
1723,509
1713.5,522.5
1703.5,533
1694,546.5
1684.5,560
1675,573
1665.5,582
1656.5,595
1646.5,608
1638.5,620.5
1629.5,632
1620,644.5
1610.5,656
1602.5,666.5
1593.5,678
1584.5,690.5
1575,700.5
1566.5,712
1559,723
1551,735.5
1539.5,748
1533,758.5
1525.5,769
1517.5,780
1512,788
1499.5,796
1519,790.5
1525,784
1533.5,774.5
1542,763.5
1567.5,728
1577,718
1585,707.5
1596.5,696
1604.5,685
1612.5,672.5
1622,660.5
1630.5,649.5
1639.5,639
1649,627.5
1657,614
1667,603
1675.5,585
1686.5,575.5
1696.5,566
1706.5,553.5
1715,540.5
1725.5,530
1734,517
1743,504
1751,491.5
1744.5,524
1735.5,536
1726,548
1717,560
1707.5,571
1697.5,585.5
1691,597.5
1680.5,612.5
1671,622.5
1661,634.5
1653,646.5
1643,658
1633,669.5
1624.5,680
1614.5,691
1605.5,704
1596.5,715.5
1588,727.5
1580,738.5
1571.5,750
1563,762
1551.5,772
1545,780.5
1581.5,750.5
1587.5,744
1597,734.5
1606.5,723
1615.5,710.5
1624.5,700
1633,688.5
1643.5,675.5
1652.5,664.5
1662,653.5
1672,641.5
1681.5,630.5
1690.5,618.5
1699.5,608.5